gene_id	476822_S10
ER3413_1	8887
ER3413_10	1686
ER3413_100	3887
ER3413_1000	2960
ER3413_1001	3171
ER3413_1002	2808
ER3413_1003	2826
ER3413_1004	4482
ER3413_1005	335
ER3413_1006	1849
ER3413_1007	3844
ER3413_1008	1170
ER3413_1009	1203
ER3413_101	3270
ER3413_1010	548
ER3413_1011	1440.5
ER3413_1012	137
ER3413_1013	109
ER3413_1014	52
ER3413_1015	2433
ER3413_1016	6370
ER3413_1017	1674
ER3413_1018	1940
ER3413_1019	2001
ER3413_102	2888
ER3413_1020	6306
ER3413_1021	599
ER3413_1022	260
ER3413_1023	1584
ER3413_1024	3065
ER3413_1025	2484
ER3413_1026	242
ER3413_1027	1184
ER3413_1029	3670
ER3413_103	609
ER3413_1030	2061
ER3413_1031	859
ER3413_1032	2852
ER3413_1033	322
ER3413_1034	1090
ER3413_1035	2826
ER3413_1036	858
ER3413_1037	13560
ER3413_104	1681
ER3413_1040	5152
ER3413_1043	2196
ER3413_1044	2453
ER3413_1045	1705
ER3413_1046	603
ER3413_1047	3675
ER3413_1048	4584
ER3413_1049	5421
ER3413_105	987
ER3413_1050	4231
ER3413_1051	9430.28
ER3413_1052	2324.87
ER3413_1054	3558
ER3413_1055	1
ER3413_1056	1990
ER3413_1057	1162
ER3413_1058	520
ER3413_1059	926
ER3413_106	1854
ER3413_1060	1739
ER3413_1061	597
ER3413_1062	664
ER3413_1063	936
ER3413_1066	336
ER3413_1067	830
ER3413_1068	330
ER3413_1069	605
ER3413_107	3844
ER3413_1070	845
ER3413_1071	3135
ER3413_1072	2058
ER3413_1075	3457
ER3413_1076	6171
ER3413_1077	146
ER3413_1078	464
ER3413_1079	2710
ER3413_108	1227
ER3413_1080	2748
ER3413_1081	1533
ER3413_1082	1197
ER3413_1083	821
ER3413_1085	7
ER3413_1086	1689
ER3413_1087	127
ER3413_1088	69
ER3413_1089	1409
ER3413_109	5863
ER3413_1090	1026
ER3413_1091	898
ER3413_1092	2581
ER3413_1093	860
ER3413_1094	819
ER3413_1095	1762
ER3413_1096	3366
ER3413_1097	533
ER3413_1098	194
ER3413_1099	1025
ER3413_11	545
ER3413_110	7034
ER3413_1101	339
ER3413_1102	342
ER3413_1103	786
ER3413_1104	2377
ER3413_1105	2946
ER3413_1106	1618
ER3413_1107	1446
ER3413_1108	1718
ER3413_1109	4104
ER3413_111	3324
ER3413_1110	2355
ER3413_1111	2017
ER3413_1112	7668
ER3413_1114	1415
ER3413_1115	843
ER3413_1117	432
ER3413_1118	19
ER3413_1119	1979
ER3413_112	5423
ER3413_1120	1567
ER3413_1121	1581
ER3413_1122	1658
ER3413_1123	128
ER3413_1124	1854
ER3413_1125	1206
ER3413_1126	1668
ER3413_1127	898
ER3413_1128	1957
ER3413_1129	1593
ER3413_113	7485
ER3413_1130	1882
ER3413_1131	4579
ER3413_1132	199
ER3413_1133	489
ER3413_1134	1093
ER3413_1135	1313
ER3413_1136	2123
