index,baseMean,log2FoldChange,FoldChange,pvalue,padj,log10_padj,Dbxref,Name,gbkey,gene,gene_biotype,gene_synonym,locus_tag
gene-b3709,397.9,4.324,20.03,4.468e-06,0.0001296,3.887,"ASAP:ABE-0012135,ECOCYC:EG11006,GeneID:948220",tnaB,Gene,tnaB,protein_coding,"ECK3702,tnaP,trpP",b3709
gene-b4735,2.73,3.797,13.9,0.004054,0.03487,1.458,"ECOCYC:G0-16730,GeneID:38094945",ybgU,Gene,ybgU,protein_coding,ECK4592,b4735
gene-b3603,5514.0,3.709,13.08,4.511e-10,5.72e-08,7.243,"ASAP:ABE-0011777,ECOCYC:EG11961,GeneID:948114",lldP,Gene,lldP,protein_coding,"ECK3593,lct,lctP",b3603
gene-b2888,10.15,3.696,12.96,3.684e-08,2.555e-06,5.593,"ASAP:ABE-0009478,ECOCYC:G7507,GeneID:949017",uacT,Gene,uacT,protein_coding,"ECK2883,ygfU",b2888
gene-b3708,2664.0,3.317,9.964,7.989e-05,0.001418,2.848,"ASAP:ABE-0012133,ECOCYC:EG11005,GeneID:948221",tnaA,Gene,tnaA,protein_coding,"ECK3701,ind,tnaR",b3708
gene-b2151,834.7,3.25,9.514,1.119e-12,2.92e-10,9.535,"ASAP:ABE-0007110,ECOCYC:EG10365,GeneID:949043",galS,Gene,galS,protein_coding,"ECK2144,mglD",b2151
gene-b3543,1400.0,3.161,8.942,5.547e-08,3.443e-06,5.463,"ASAP:ABE-0011572,ECOCYC:EG12625,GeneID:948063",dppB,Gene,dppB,protein_coding,ECK3530,b3543
gene-b1011,48.67,3.12,8.694,5.071e-06,0.0001407,3.852,"ASAP:ABE-0003414,ECOCYC:G6522,GeneID:945699",rutB,Gene,rutB,protein_coding,"ECK1002,ycdL",b1011
gene-b1008,43.75,3.082,8.465,4.629e-09,4.193e-07,6.377,"ASAP:ABE-0003407,ECOCYC:G6519,GeneID:946591",rutE,Gene,rutE,protein_coding,"ECK0999,ycdI",b1008
gene-b1012,249.2,3.058,8.329,0.001353,0.01468,1.833,"ASAP:ABE-0003416,ECOCYC:G6523,GeneID:945643",rutA,Gene,rutA,protein_coding,"ECK1003,ycdM",b1012
gene-b3604,1509.0,3.005,8.03,2.533e-06,8.389e-05,4.076,"ASAP:ABE-0011782,ECOCYC:EG11962,GeneID:948122",lldR,Gene,lldR,protein_coding,"ECK3594,lct,lctR",b3604
gene-b4068,308.9,2.961,7.789,4.257e-09,3.936e-07,6.405,"ASAP:ABE-0013330,ECOCYC:EG11943,GeneID:948574",yjcH,Gene,yjcH,protein_coding,ECK4061,b4068
gene-b3542,474.5,2.891,7.419,6.522e-08,3.86e-06,5.413,"ASAP:ABE-0011570,ECOCYC:EG12626,GeneID:948064",dppC,Gene,dppC,protein_coding,ECK3529,b3542
gene-b2241,1410.0,2.88,7.362,1.702e-06,6.09e-05,4.215,"ASAP:ABE-0007422,ECOCYC:EG10391,GeneID:946713",glpA,Gene,glpA,protein_coding,ECK2233,b2241
gene-b2242,1418.0,2.868,7.303,1.246e-07,6.661e-06,5.176,"ASAP:ABE-0007424,ECOCYC:EG10392,GeneID:946733",glpB,Gene,glpB,protein_coding,"ECK2234,psi-51",b2242
