antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,downregulated,b1597,b1597,20487.220591845282,-9.822585071267884,0.001104351330107829,0.00018457786077554902,0.006009158744320713,21.817791617303683,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,downregulated,b4601,b4601,112.91291446264519,-7.823024318798925,0.004416060587847228,5.7759659310444314e-05,0.004591207330825119,18.2908026798934,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,upregulated,b3127,b3127,2605.6206525813263,7.359708783595543,164.24535765873262,0.00026283659249589524,0.006826179446834816,15.939821398830329,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,upregulated,b1530,b1530,1453.5832893413535,6.832264515290221,113.95058455605252,0.0005966445403729468,0.009066578184451063,13.955286903602703,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,upregulated,b3126,b3126,1404.5240898361192,6.004292129112957,64.19068845615622,0.00018363321329884627,0.006009158744320713,13.336651556787569,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,downregulated,b2763,b2763,2503.9147830719844,-5.68680504951721,0.019413377543268696,4.7002486900008655e-05,0.004591207330825119,13.296165881753312,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,downregulated,b0953,b0953,65397.59163831905,-5.553793667592366,0.021288326202853685,9.598736207459118e-05,0.0050969882590061666,12.733107025789234,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,downregulated,b2422,b2422,2387.659500270849,-5.3735227461639115,0.024121731056705766,2.6038746531432284e-05,0.004459540839808195,12.631592872880061,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,upregulated,b2616,b2616,5541.753575992384,4.826654306871104,28.377081341256986,5.062614859815318e-06,0.0024156340432819976,12.631204012083113,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,upregulated,b1531,b1531,1223.565945809056,5.328919117023853,40.19430268780009,4.296171382757353e-05,0.004493995088288971,12.508931047595922,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,downregulated,b2423,b2423,1140.5027876346405,-5.380281848902712,0.024008983787792666,0.0001292464693820366,0.005668554449342284,12.08695208571019,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,downregulated,b2424,b2424,778.1097481767457,-5.527297793786569,0.02168291009643379,0.0005819226181347213,0.008944140561626611,11.32245608982084,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,downregulated,b2762,b2762,865.0305430736747,-5.290283226671563,0.02555442205033495,0.0003540833874009261,0.007333429009121024,11.293130084363087,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,upregulated,b2975,b2975,1060.9544298284857,4.833943022612108,28.52080945371789,0.00010659340338847902,0.005161098048068423,11.05647431989041,BH_from_pvalue
fluoroquinolone,ciprofloxacin,ciprofloxacin_vs_control,upregulated,b1532,b1532,506.9945950685226,5.664490829097503,50.720280856063845,0.0014197764876467533,0.012009187398790117,10.878577476281961,BH_from_pvalue
