gene_id,gene,CIP_1,CIP_2,CIP_3,Wu_2,Wu_3,Wu_4
b0001,b0001,80,74,63,36,40,24
b0002,b0002,674,655,625,1831,2936,2561
b0003,b0003,622,662,456,1356,1550,1425
b0004,b0004,1153,1099,794,1643,1875,1723
b0005,b0005,190,255,216,104,60,116
b0006,b0006,303,337,318,195,165,169
b0007,b0007,312,438,274,187,193,196
b0008,b0008,10540,11162,8208,10501,10198,11164
b0009,b0009,882,864,764,661,578,609
b0010,b0010,296,348,413,130,170,105
b0011,b0011,38,39,26,20,21,15
b0013,b0013,9,8,6,1,1,0
b0014,b0014,8776,11344,9538,22675,30288,27300
b0015,b0015,1539,1813,1486,2279,3198,2324
b0016,b0016,3,4,3,1,1,4
b0018,b0018,2,6,0,3,6,0
b0019,b0019,2712,3093,2604,5745,7344,6671
b0020,b0020,629,693,594,748,959,683
b0021,b0021,7,5,7,4,2,2
b0022,b0022,10,9,23,4,1,1
b0023,b0023,6349,6014,7108,1223,1474,946
b0024,b0024,13,37,33,51,80,41
b0025,b0025,1893,1767,1651,1020,1093,899
b0026,b0026,6755,6302,5830,5158,5745,4987
b0027,b0027,1149,1182,1084,787,699,694
b0028,b0028,526,551,452,481,490,404
b0029,b0029,1085,1012,914,749,897,715
b0030,b0030,589,612,389,237,199,312
b0031,b0031,522,589,340,497,512,482
b0032,b0032,1845,1579,1379,143,173,103
b0033,b0033,5315,4512,3615,1815,2020,1666
b0034,b0034,155,184,116,34,58,61
b0035,b0035,20,38,23,17,18,10
b0036,b0036,17,20,26,4,6,2
b0037,b0037,73,90,69,24,45,34
b0038,b0038,79,104,105,46,49,33
b0039,b0039,212,259,223,132,166,143
b0040,b0040,26,27,26,9,7,4
b0041,b0041,38,18,16,2,7,4
b0042,b0042,24,19,24,7,6,11
b0043,b0043,22,31,15,8,11,7
b0044,b0044,0,1,2,1,0,0
b0045,b0045,18,17,22,6,7,9
b0046,b0046,91,126,75,43,43,31
b0047,b0047,540,608,347,323,469,340
b0048,b0048,1019,980,759,574,577,488
b0049,b0049,774,820,564,544,726,495
b0050,b0050,212,219,193,194,262,184
b0051,b0051,1450,1552,1159,878,1068,763
b0052,b0052,1231,1123,939,557,741,486
b0053,b0053,4607,4976,3636,3465,4759,3493
b0054,b0054,6641,6962,5074,4724,6211,4572
b0055,b0055,634,608,499,429,507,360
b0058,b0058,610,582,568,261,454,341
b0059,b0059,2587,2323,2296,826,1248,889
b0060,b0060,3661,3736,2681,793,954,765
b0061,b0061,179,434,212,28,39,32
b0062,b0062,711,1564,759,172,201,272
b0063,b0063,522,1233,595,90,114,124
b0064,b0064,855,1023,584,687,691,843
b0065,b0065,808,777,793,369,630,449
b0066,b0066,260,215,195,98,122,80
b0067,b0067,404,337,324,123,143,109
b0068,b0068,749,653,598,197,228,165
b0069,b0069,252,340,254,318,279,318
b0070,b0070,351,379,315,124,162,107
b0071,b0071,91,87,47,102,168,121
b0072,b0072,146,157,122,178,237,180
b0073,b0073,94,115,82,116,127,145
b0074,b0074,91,88,121,160,119,173
b0075,b0075,6,2,5,0,2,0
b0076,b0076,59,60,71,27,45,22
b0077,b0077,109,152,126,121,127,99
b0078,b0078,27,30,39,28,46,43
b0080,b0080,2471,2566,1689,2458,2431,2268
b0081,b0081,1005,1090,994,949,951,752
b0082,b0082,1222,1309,1036,1354,1457,1169
b0083,b0083,236,228,186,208,269,203
b0084,b0084,1638,1852,1344,1003,1125,879
b0085,b0085,1662,1688,1192,1578,1946,1692
b0086,b0086,1520,1651,1211,1454,1702,1473
b0087,b0087,1148,1258,837,1319,1608,1341
b0088,b0088,1673,1723,1302,1679,1996,1625
b0089,b0089,1227,1326,912,1068,1290,1020
b0090,b0090,1607,1661,1213,1255,1611,1261
b0091,b0091,2440,2567,1775,2174,2597,2050
b0092,b0092,1537,1739,1260,1404,1629,1454
b0093,b0093,1369,1514,1087,1131,1259,1154
b0094,b0094,2562,2681,1981,2009,2344,1933
b0095,b0095,6538,7258,4834,6400,7208,6556
b0096,b0096,21831,25679,22425,23516,26737,25764
b0097,b0097,1437,1570,1282,998,1019,986
b0098,b0098,8411,8272,6582,5370,6449,5557
b0099,b0099,227,209,226,122,130,116
b0101,b0101,152,148,105,92,119,80
b0102,b0102,435,442,355,249,303,233
b0103,b0103,407,420,313,227,256,207
b0104,b0104,1403,1413,1486,321,275,295
b0106,b0106,94,94,87,21,36,32
b0107,b0107,154,168,137,108,82,102
b0108,b0108,7,11,12,3,4,1
b0109,b0109,703,711,535,770,734,622
b0110,b0110,240,278,170,313,336,291
b0111,b0111,457,542,340,600,623,553
b0112,b0112,445,439,469,544,650,554
b0113,b0113,635,515,1755,631,682,516
b0114,b0114,6412,5682,12462,12458,13220,13099
b0115,b0115,5843,5808,9628,13549,13231,14107
b0116,b0116,7562,7377,8128,7878,8475,8111
b0117,b0117,56,66,47,31,45,49
b0118,b0118,24591,23203,16587,15650,17082,17248
b0119,b0119,721,857,575,1292,1413,1347
b0120,b0120,546,531,506,389,423,462
b0121,b0121,788,709,736,473,514,539
b0122,b0122,362,318,287,228,184,168
b0123,b0123,812,868,610,437,573,392
b0124,b0124,1137,1235,3180,792,1582,934
b0125,b0125,1133,1167,1066,750,711,643
b0126,b0126,1157,986,985,488,445,401
b0127,b0127,1038,1281,1110,433,468,367
b0128,b0128,683,778,631,399,489,379
b0129,b0129,292,346,205,383,273,265
b0130,b0130,377,442,354,114,160,118
b0131,b0131,1375,1382,1223,1139,1058,967
b0132,b0132,151,150,125,110,88,80
b0133,b0133,1080,1112,964,1294,1224,1254
b0134,b0134,1081,1113,987,1021,966,949
b0135,b0135,39,47,58,1,5,6
b0136,b0136,6,13,9,2,4,4
b0137,b0137,13,14,8,2,1,1
b0138,b0138,14,11,18,1,0,2
b0139,b0139,32,57,52,2,3,4
b0140,b0140,4,6,4,0,0,0
b0141,b0141,9,11,29,0,1,0
b0142,b0142,70,67,58,14,20,4
b0143,b0143,3189,2819,2763,575,661,423
b0144,b0144,477,388,310,94,97,61
b0145,b0145,6126,7156,4742,3518,3940,3828
b0146,b0146,2114,2670,1710,2104,2294,2052
b0147,b0147,85,70,75,40,35,41
b0148,b0148,1318,1298,1263,1069,1024,898
b0149,b0149,3194,3145,2976,1609,1852,1567
b0150,b0150,1796,1290,1885,1211,1106,1037
b0151,b0151,214,199,233,320,268,211
b0152,b0152,141,103,148,165,146,85
b0153,b0153,423,353,423,380,320,228
b0154,b0154,2251,2274,1734,1999,2162,2002
b0155,b0155,1106,1355,902,864,1101,756
b0156,b0156,1253,1484,1813,985,1568,1637
b0157,b0157,202,166,188,105,81,58
b0158,b0158,176,164,141,188,145,138
b0159,b0159,1034,1093,955,1117,1161,1172
b0160,b0160,392,413,347,225,282,192
b0161,b0161,2072,2163,2422,590,1001,694
b0162,b0162,1125,1443,747,145,143,118
b0163,b0163,1390,1830,1110,1659,1711,1797
b0164,b0164,68,84,59,31,31,22
b0166,b0166,1802,1762,1388,2005,2462,2375
b0167,b0167,823,838,802,739,762,740
b0168,b0168,2149,2309,2279,1532,1500,1486
b0169,b0169,29922,29526,31214,7570,8057,7444
b0170,b0170,6492,6236,7054,3784,4224,3988
b0171,b0171,999,910,1013,1112,1145,992
b0172,b0172,5949,6302,5142,3377,3688,3235
b0173,b0173,974,1122,778,1294,1154,1085
b0174,b0174,2971,2835,2576,1693,1492,1104
b0175,b0175,1809,1710,1529,868,944,694
b0176,b0176,4304,3962,3486,1707,2078,1596
b0177,b0177,12429,11375,9304,6317,7600,6608
b0178,b0178,4516,4753,3372,3271,3424,3301
b0179,b0179,4311,4166,3209,3076,3611,2947
b0180,b0180,1452,1337,1075,1058,1183,937
b0181,b0181,2633,2570,2186,1685,1728,1483
b0182,b0182,1125,1030,973,655,741,556
b0183,b0183,440,348,345,186,181,164
b0184,b0184,4230,3583,3422,1542,1976,1457
b0185,b0185,2489,2507,2044,1143,1271,1070
b0186,b0186,964,1298,831,918,1357,1141
b0187,b0187,183,282,208,193,239,207
b0188,b0188,672,675,577,363,492,376
b0189,b0189,260,369,227,198,225,226
b0190,b0190,299,258,254,178,145,160
b0191,b0191,103,124,90,55,78,70
b0192,b0192,676,682,598,617,739,559
b0193,b0193,136,108,113,56,53,50
b0194,b0194,4102,3878,3275,3509,3814,3557
b0195,b0195,213,181,162,98,94,60
b0196,b0196,280,271,229,145,142,113
b0197,b0197,738,866,600,1319,938,1173
b0198,b0198,125,162,202,436,317,444
b0199,b0199,109,140,220,1124,795,1308
b0200,b0200,12,8,9,16,11,9
b0201,b0201,0,1,0,0,0,0
b0202,b0202,0,0,0,0,0,0
b0203,b0203,0,0,0,0,0,0
b0204,b0204,1,1,0,1,0,0
b0205,b0205,0,0,0,0,0,0
b0206,b0206,0,1,0,0,0,0
b0207,b0207,46,65,59,68,74,112
b0208,b0208,122,134,114,227,340,307
b0209,b0209,504,615,507,1301,1518,1309
b0210,b0210,170,157,144,124,155,106
b0211,b0211,3231,2981,3443,3107,3533,2427
b0212,b0212,318,322,267,184,232,195
b0213,b0213,236,240,211,231,238,264
b0214,b0214,325,347,306,345,363,280
b0215,b0215,577,661,517,462,565,522
b0216,b0216,29,9,49,8,5,6
b0217,b0217,84,98,222,5,10,3
b0218,b0218,1,5,3,0,0,0
b0219,b0219,403,495,329,607,649,596
b0220,b0220,2319,2940,1607,1307,1703,1559
b0221,b0221,4116,4692,2692,1937,2974,2121
b0222,b0222,1057,1094,921,1174,1058,1044
b0223,b0223,429,405,349,338,325,351
b0224,b0224,2050,1826,1556,1398,1375,1017
b0225,b0225,127,131,147,98,118,70
b0226,b0226,216,243,222,337,426,418
b0227,b0227,72,72,50,44,61,51
b0228,b0228,135,150,85,166,127,162
b0229,b0229,72,117,88,43,35,50
b0230,b0230,60,52,37,26,29,18
b0231,b0231,2079,2104,1590,381,446,362
b0232,b0232,85,97,67,41,63,51
b0233,b0233,62,44,39,11,24,21
b0234,b0234,87,87,91,6,8,5
b0235,b0235,13,5,11,1,0,0
b0236,b0236,31,31,48,2,4,0
