gene_id,gene,KAN_2,KAN_3,KAN_4,Wu_2,Wu_3,Wu_4
b0001,b0001,27,22,20,36,40,24
b0002,b0002,5126,6907,5751,1831,2936,2561
b0003,b0003,1531,1857,1649,1356,1550,1425
b0004,b0004,1845,2429,2016,1643,1875,1723
b0005,b0005,298,322,327,104,60,116
b0006,b0006,161,234,261,195,165,169
b0007,b0007,166,216,207,187,193,196
b0008,b0008,2162,2680,2154,10501,10198,11164
b0009,b0009,748,869,834,661,578,609
b0010,b0010,421,423,536,130,170,105
b0011,b0011,37,39,44,20,21,15
b0013,b0013,3,9,8,1,1,0
b0014,b0014,18732,18665,28927,22675,30288,27300
b0015,b0015,2501,2681,3849,2279,3198,2324
b0016,b0016,3,5,13,1,1,4
b0018,b0018,0,0,0,3,6,0
b0019,b0019,3215,3426,4325,5745,7344,6671
b0020,b0020,382,448,527,748,959,683
b0021,b0021,10,10,4,4,2,2
b0022,b0022,12,16,16,4,1,1
b0023,b0023,1490,1539,1642,1223,1474,946
b0024,b0024,42,47,59,51,80,41
b0025,b0025,1265,1419,1526,1020,1093,899
b0026,b0026,6310,7223,7972,5158,5745,4987
b0027,b0027,850,908,1212,787,699,694
b0028,b0028,456,519,611,481,490,404
b0029,b0029,813,952,1013,749,897,715
b0030,b0030,184,261,245,237,199,312
b0031,b0031,156,212,183,497,512,482
b0032,b0032,410,413,785,143,173,103
b0033,b0033,685,789,1340,1815,2020,1666
b0034,b0034,101,119,118,34,58,61
b0035,b0035,152,167,149,17,18,10
b0036,b0036,145,146,204,4,6,2
b0037,b0037,95,126,122,24,45,34
b0038,b0038,207,259,252,46,49,33
b0039,b0039,594,690,699,132,166,143
b0040,b0040,84,132,107,9,7,4
b0041,b0041,40,61,64,2,7,4
b0042,b0042,33,67,62,7,6,11
b0043,b0043,58,66,56,8,11,7
b0044,b0044,2,3,0,1,0,0
b0045,b0045,23,46,56,6,7,9
b0046,b0046,60,78,92,43,43,31
b0047,b0047,308,354,387,323,469,340
b0048,b0048,427,503,534,574,577,488
b0049,b0049,175,200,201,544,726,495
b0050,b0050,75,84,88,194,262,184
b0051,b0051,343,334,380,878,1068,763
b0052,b0052,321,516,527,557,741,486
b0053,b0053,3143,3578,3588,3465,4759,3493
b0054,b0054,1220,1405,1583,4724,6211,4572
b0055,b0055,460,534,540,429,507,360
b0058,b0058,261,261,349,261,454,341
b0059,b0059,847,899,941,826,1248,889
b0060,b0060,703,788,896,793,954,765
b0061,b0061,24,29,35,28,39,32
b0062,b0062,155,135,117,172,201,272
b0063,b0063,142,166,178,90,114,124
b0064,b0064,1569,1759,1767,687,691,843
b0065,b0065,4019,4743,4933,369,630,449
b0066,b0066,174,158,184,98,122,80
b0067,b0067,282,361,343,123,143,109
b0068,b0068,426,458,592,197,228,165
b0069,b0069,385,454,446,318,279,318
b0070,b0070,562,652,745,124,162,107
b0071,b0071,50,58,62,102,168,121
b0072,b0072,127,177,131,178,237,180
b0073,b0073,188,190,203,116,127,145
b0074,b0074,156,248,217,160,119,173
b0075,b0075,22,23,23,0,2,0
b0076,b0076,70,112,105,27,45,22
b0077,b0077,310,370,385,121,127,99
b0078,b0078,92,109,84,28,46,43
b0080,b0080,1042,1388,1229,2458,2431,2268
b0081,b0081,706,912,1062,949,951,752
b0082,b0082,859,1150,1032,1354,1457,1169
b0083,b0083,90,107,107,208,269,203
b0084,b0084,727,870,867,1003,1125,879
b0085,b0085,234,324,326,1578,1946,1692
b0086,b0086,254,334,332,1454,1702,1473
b0087,b0087,273,329,322,1319,1608,1341
b0088,b0088,363,403,426,1679,1996,1625
b0089,b0089,442,493,493,1068,1290,1020
b0090,b0090,651,809,846,1255,1611,1261
b0091,b0091,870,1101,1196,2174,2597,2050
b0092,b0092,805,917,978,1404,1629,1454
b0093,b0093,869,903,1265,1131,1259,1154
b0094,b0094,1263,1698,1700,2009,2344,1933
b0095,b0095,2716,3109,3355,6400,7208,6556
b0096,b0096,23552,27529,30873,23516,26737,25764
b0097,b0097,206,266,257,998,1019,986
b0098,b0098,1229,1481,1448,5370,6449,5557
b0099,b0099,63,89,93,122,130,116
b0101,b0101,40,54,40,92,119,80
b0102,b0102,337,370,397,249,303,233
b0103,b0103,119,136,150,227,256,207
b0104,b0104,1738,1907,2066,321,275,295
b0106,b0106,115,137,165,21,36,32
b0107,b0107,227,276,274,108,82,102
b0108,b0108,10,22,28,3,4,1
b0109,b0109,223,283,300,770,734,622
b0110,b0110,109,120,125,313,336,291
b0111,b0111,286,328,324,600,623,553
