gene_id,gene,PME_1,PME_2,PME_3,Wu_2,Wu_3,Wu_4
b0001,b0001,45,34,75,36,40,24
b0002,b0002,1323,2065,886,1831,2936,2561
b0003,b0003,666,717,925,1356,1550,1425
b0004,b0004,886,907,1666,1643,1875,1723
b0005,b0005,228,181,294,104,60,116
b0006,b0006,230,218,273,195,165,169
b0007,b0007,390,353,648,187,193,196
b0008,b0008,8292,8410,13232,10501,10198,11164
b0009,b0009,505,510,782,661,578,609
b0010,b0010,198,132,165,130,170,105
b0011,b0011,24,16,35,20,21,15
b0013,b0013,0,1,3,1,1,0
b0014,b0014,19572,19389,16444,22675,30288,27300
b0015,b0015,2731,2647,2361,2279,3198,2324
b0016,b0016,1,3,4,1,1,4
b0018,b0018,2,2,3,3,6,0
b0019,b0019,3969,3846,2270,5745,7344,6671
b0020,b0020,757,649,511,748,959,683
b0021,b0021,1,3,2,4,2,2
b0022,b0022,1,3,3,4,1,1
b0023,b0023,3195,1662,2099,1223,1474,946
b0024,b0024,62,48,56,51,80,41
b0025,b0025,1121,971,874,1020,1093,899
b0026,b0026,3568,4763,2817,5158,5745,4987
b0027,b0027,663,601,395,787,699,694
b0028,b0028,547,435,340,481,490,404
b0029,b0029,885,820,617,749,897,715
b0030,b0030,141,152,856,237,199,312
b0031,b0031,527,370,487,497,512,482
b0032,b0032,29,29,89,143,173,103
b0033,b0033,132,144,266,1815,2020,1666
b0034,b0034,40,96,326,34,58,61
b0035,b0035,17,18,30,17,18,10
b0036,b0036,12,5,13,4,6,2
b0037,b0037,24,36,75,24,45,34
b0038,b0038,49,72,67,46,49,33
b0039,b0039,128,172,240,132,166,143
b0040,b0040,4,9,26,9,7,4
b0041,b0041,6,7,11,2,7,4
b0042,b0042,4,5,25,7,6,11
b0043,b0043,10,9,21,8,11,7
b0044,b0044,0,0,0,1,0,0
b0045,b0045,6,3,32,6,7,9
b0046,b0046,75,77,90,43,43,31
b0047,b0047,405,550,460,323,469,340
b0048,b0048,715,684,726,574,577,488
b0049,b0049,995,917,507,544,726,495
b0050,b0050,345,319,231,194,262,184
b0051,b0051,1513,1387,1065,878,1068,763
b0052,b0052,960,762,627,557,741,486
b0053,b0053,4576,4657,3734,3465,4759,3493
b0054,b0054,7940,7042,6717,4724,6211,4572
b0055,b0055,422,365,511,429,507,360
b0058,b0058,376,391,201,261,454,341
b0059,b0059,1451,1585,916,826,1248,889
b0060,b0060,1294,1092,976,793,954,765
b0061,b0061,35,23,271,28,39,32
b0062,b0062,164,162,1147,172,201,272
b0063,b0063,69,98,410,90,114,124
b0064,b0064,379,464,679,687,691,843
b0065,b0065,426,353,533,369,630,449
b0066,b0066,76,74,49,98,122,80
b0067,b0067,93,96,103,123,143,109
b0068,b0068,245,211,342,197,228,165
b0069,b0069,271,355,415,318,279,318
b0070,b0070,147,162,192,124,162,107
b0071,b0071,140,170,83,102,168,121
b0072,b0072,137,214,139,178,237,180
b0073,b0073,128,123,103,116,127,145
b0074,b0074,76,77,101,160,119,173
b0075,b0075,0,1,7,0,2,0
b0076,b0076,44,39,73,27,45,22
b0077,b0077,105,112,146,121,127,99
b0078,b0078,23,30,30,28,46,43
b0080,b0080,1459,2277,5091,2458,2431,2268
b0081,b0081,824,601,623,949,951,752
b0082,b0082,997,939,773,1354,1457,1169
