gene_id,SEQ_ID,FEAT_TYPE,FUNCTION,DESCRIPTION,COMMENTS,ACCESSION,MAPLOC,gene,WT_1,WT_2,WT_3,512_1,512_2,512_3
b0001,TI83333S000001,CDS,thr operon leader peptide,go_process: threonine biosynthesis [goid 0009088],"Escherichia coli K12, complete genome.",NC_000913,190-255,b0001,16.26065321,15.73928012,16.0224846,15.55050358,15.74068694,15.47240264
b0002,TI83333S000002,CDS,bifunctional aspartokinase I/homeserine dehydrogenase I,multifunctional homotetrameric enzyme that catalyzes the phosphorylation of aspartate to form aspartyl-4-phosphate as well as conversion of aspartate semialdehyde to homoserine; functions in a number of amino acid biosynthetic pathways; go_component: cytoplasm [goid 0005737]; go_process: threonine biosynthesis [goid 0009088]; go_process: methionine biosynthesis [goid 0009086]; go_process: homoserine biosynthesis [goid 0009090],"Escherichia coli K12, complete genome.",NC_000913,337-2799,b0002,15.59901512,15.60635913,15.72641391,15.68220988,15.64547177,15.81817829
b0003,TI83333S000003,CDS,homoserine kinase,catalyzes the formation of O-phospho-L-homoserine from L-homoserine in threonine biosynthesis from asparate; go_component: cytoplasm [goid 0005737]; go_process: threonine biosynthesis [goid 0009088],"Escherichia coli K12, complete genome.",NC_000913,2801-3733,b0003,15.50739413,15.49706958,15.58709412,15.63409509,15.67294846,15.69672318
b0004,TI83333S000004,CDS,threonine synthase,catalyzes the formation of L-threonine fromO-phospho-L-homoserine; go_component: cytoplasm [goid 0005737]; go_process: threonine biosynthesis [goid 0009088],"Escherichia coli K12, complete genome.",NC_000913,3734-5020,b0004,15.48366305,15.4754192,15.50344869,15.684519,15.69327422,15.61898197
b0005,TI83333S000005,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,5234-5530,b0005,10.40528151,10.6946972,10.46925291,10.98696422,10.68345361,10.99142189
b0006,TI83333S000006,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,5683-6459,b0006,11.74934875,11.84044067,11.79027567,11.4278349,11.07117097,11.3652237
b0007,TI83333S000007,CDS,inner membrane transport protein,putative alanine/glycine transport protein (AGCS family); go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,6529-7959,b0007,10.74686424,10.3964282,11.0182677,10.86036423,11.15115156,11.41725275
b0008,TI83333S000008,CDS,transaldolase,"Maintains the balance of metabolites in the pentose-phosphate pathway; go_component: cytoplasm [goid 0005737]; go_process: pentose-phosphate shunt, non-oxidative branch [goid 0009052]","Escherichia coli K12, complete genome.",NC_000913,8238-9191,b0008,15.6903552,15.68714812,15.84966279,15.41779736,15.47465212,15.54164145
b0009,TI83333S000009,CDS,molybdenum cofactor biosynthesis protein,forms a trimer; related to eukaryotic protein gephyrin; functions during molybdenum cofactor biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: Mo-molybdopterin cofactor biosynthesis [goid 0006777],"Escherichia coli K12, complete genome.",NC_000913,9306-9893,b0009,11.61539044,11.74224707,11.64737571,11.56715789,11.44044899,11.52885457
b0010,TI83333S000010,CDS,"putative regulator, integral membrane protein",,"Escherichia coli K12, complete genome.",NC_000913,9928-10494,b0010,10.59278101,10.48807563,10.50170223,10.54916859,10.62724798,10.57142714
