gene_id,SEQ_ID,FEAT_TYPE,FUNCTION,DESCRIPTION,COMMENTS,ACCESSION,MAPLOC,gene,WT_amox_1,WT_amox_2,WT_amox_3,512_amox_1,512_amox_2,512_amox_3
b0001,TI83333S000001,CDS,thr operon leader peptide,go_process: threonine biosynthesis [goid 0009088],"Escherichia coli K12, complete genome.",NC_000913,190-255,b0001,15.90039766,16.15134965,15.72286294,15.77497693,15.62838556,15.12936993
b0002,TI83333S000002,CDS,bifunctional aspartokinase I/homeserine dehydrogenase I,multifunctional homotetrameric enzyme that catalyzes the phosphorylation of aspartate to form aspartyl-4-phosphate as well as conversion of aspartate semialdehyde to homoserine; functions in a number of amino acid biosynthetic pathways; go_component: cytoplasm [goid 0005737]; go_process: threonine biosynthesis [goid 0009088]; go_process: methionine biosynthesis [goid 0009086]; go_process: homoserine biosynthesis [goid 0009090],"Escherichia coli K12, complete genome.",NC_000913,337-2799,b0002,15.8552381,15.48990033,15.70088206,15.70234881,15.823067,15.82848595
b0003,TI83333S000003,CDS,homoserine kinase,catalyzes the formation of O-phospho-L-homoserine from L-homoserine in threonine biosynthesis from asparate; go_component: cytoplasm [goid 0005737]; go_process: threonine biosynthesis [goid 0009088],"Escherichia coli K12, complete genome.",NC_000913,2801-3733,b0003,15.68369631,15.63601566,15.78021636,15.71781583,15.75117878,15.74970893
b0004,TI83333S000004,CDS,threonine synthase,catalyzes the formation of L-threonine fromO-phospho-L-homoserine; go_component: cytoplasm [goid 0005737]; go_process: threonine biosynthesis [goid 0009088],"Escherichia coli K12, complete genome.",NC_000913,3734-5020,b0004,15.52215744,15.56395859,15.66687626,15.71507066,15.66434987,15.57933338
b0005,TI83333S000005,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,5234-5530,b0005,10.57802511,11.03079151,10.99256829,10.9714954,10.96073267,10.85190201
b0006,TI83333S000006,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,5683-6459,b0006,11.65075679,11.82193472,11.68240448,11.27083937,11.28605258,11.2464857
b0007,TI83333S000007,CDS,inner membrane transport protein,putative alanine/glycine transport protein (AGCS family); go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,6529-7959,b0007,11.02223312,10.10264889,10.43131468,11.11161361,11.2171877,11.36155415
b0008,TI83333S000008,CDS,transaldolase,"Maintains the balance of metabolites in the pentose-phosphate pathway; go_component: cytoplasm [goid 0005737]; go_process: pentose-phosphate shunt, non-oxidative branch [goid 0009052]","Escherichia coli K12, complete genome.",NC_000913,8238-9191,b0008,15.66785896,15.62389743,15.56087462,15.57029875,15.52437423,15.57820858
b0009,TI83333S000009,CDS,molybdenum cofactor biosynthesis protein,forms a trimer; related to eukaryotic protein gephyrin; functions during molybdenum cofactor biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: Mo-molybdopterin cofactor biosynthesis [goid 0006777],"Escherichia coli K12, complete genome.",NC_000913,9306-9893,b0009,11.78011391,11.66396084,11.66750604,11.50643448,11.40857112,11.61860315
b0010,TI83333S000010,CDS,"putative regulator, integral membrane protein",,"Escherichia coli K12, complete genome.",NC_000913,9928-10494,b0010,10.59352077,10.52583264,10.64252791,10.59472057,10.68441159,10.72399804
b0011,TI83333S000011,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,10643-11356,b0011,8.326320977,8.193531069,8.186874623,8.085587816,8.09401415,8.10162663
b0012,TI83333S000012,CDS,positive regulator for sigma 32 heat shock promoters,"transcriptional activator for sigma H (sigma 32) promoters, permitting growth at high temperature; go_function: transcriptional activator activity [goid 0016563]; go_process: protein folding [goid 0006457]; go_process: transcription [goid 0006350]; go_process: response to temperature [goid 0009266]","Escherichia coli K12, complete genome.",NC_000913,10725-11315,b0012,6.93557009,6.872100628,6.984474143,6.963830798,7.083430871,7.089851161
b0013,TI83333S000013,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,11382-11786,b0013,7.093266266,7.082791116,7.029187208,7.075208492,7.097029429,7.149611445
b0014,TI83333S000014,CDS,molecular chaperone DnaK,heat shock protein 70; assists in folding of nascent polypeptide chains; refolding of misfolded proteins; utilizes ATPase activity to help fold; co-chaperones are DnaJ and GrpE; multiple copies in some bacteria; go_component: cytoplasm [goid 0005737]; go_process: protein folding [goid 0006457]; go_process: response to osmotic stress [goid 0006970],"Escherichia coli K12, complete genome.",NC_000913,12163-14079,b0014,15.2745741,15.1206802,15.08979997,14.95608045,15.02913192,14.89551138
b0015,TI83333S000015,CDS,chaperone with DnaK; heat shock protein,"heat shock protein (Hsp40), co-chaperone with DnaK; go_component: cytoplasm [goid 0005737]; go_process: protein folding [goid 0006457]","Escherichia coli K12, complete genome.",NC_000913,14168-15298,b0015,13.43408431,13.87890875,13.80696417,13.15864705,13.17713409,13.08932774
b0016,TI83333S000016,CDS,IS186 hypothetical protein,"homolog, IS186 transposase","Escherichia coli K12, complete genome.",NC_000913,15445-16557,b0016,12.10283508,12.56240553,12.52747718,11.74337521,11.72980846,11.73044458
b0017,TI83333S000017,CDS,IS186 and IS421 hypothetical protein,"homolog, IS186 and IS421 protein","Escherichia coli K12, complete genome.",NC_000913,15869-16177,b0017,8.44215247,8.015354567,7.947942623,8.404708375,8.641860565,8.416445891
b0018,TI83333S000018,CDS,regulatory peptide whose translation enables hokC (gef) expression,,"Escherichia coli K12, complete genome.",NC_000913,16751-16960,b0018,11.0685337,10.71283851,10.78165969,11.01925973,10.97737599,11.17713539
b4412,TI83333S000019,CDS,small toxic membrane polypeptide,,"Escherichia coli K12, complete genome.",NC_000913,16751-16903,b4412,10.91986616,10.54429315,10.63457574,10.92937303,10.96305616,11.02336255
b0019,TI83333S000020,CDS,"Na+/H antiporter, pH dependent",sodium:proton antiporter (NhaA family); go_component: inner membrane [goid 0019866]; go_process: response to pH [goid 0009268],"Escherichia coli K12, complete genome.",NC_000913,17489-18655,b0019,12.50061343,12.30738272,12.26620792,11.55358249,11.42621664,11.60014662
b0020,TI83333S000021,CDS,transcriptional activator of cation transport (LysR family),transcriptional activator of nhaA; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_process: transcription [goid 0006350]; go_process: response to pH [goid 0009268],"Escherichia coli K12, complete genome.",NC_000913,18715-19620,b0020,11.576698,11.45694141,11.37924567,11.00428793,10.97874967,11.06468764
