antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source,SEQ_ID,FEAT_TYPE,FUNCTION,DESCRIPTION,COMMENTS,ACCESSION,MAPLOC
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b3366,b3366,9.290899319666666,-1.4009558640000002,0.3786781635961428,0.41695558417618683,0.9751577277352497,0.015305629535009128,BH_from_pvalue,TI83333S003245,CDS,nitrite reductase small subunit,"involved in reducing nitrite to ammonium to detoxify nitrite accumulation in anaerobic nitrate-respiring cells and regenerate NAD+; bounds to NirB, the cytoplasmic subunit, whose expression is induced at high nitrate concentrations; go_component: cytoplasm [goid 0005737]; go_process: anaerobic respiration [goid 0009061]","Escherichia coli K12, complete genome.",NC_000913,3494573-3494899
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b3512,b3512,11.216866014999999,-1.0909821033333333,0.4694416970571443,0.215109024049041,0.9751577277352497,0.01191912488611065,BH_from_pvalue,TI83333S003388,CDS,putative regulator,,"Escherichia coli K12, complete genome.",NC_000913,3656389-3656916
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b3365,b3365,12.792363076666666,-1.0902583200000002,0.4696772695872192,0.4597485148373105,0.9751577277352497,0.011911217456727413,BH_from_pvalue,TI83333S003244,CDS,nitrite reductase (NAD(P)H) subunit,"nitrite reductase, large subunit, nucleotide-binding; go_component: cytoplasm [goid 0005737]; go_process: anaerobic respiration [goid 0009061]","Escherichia coli K12, complete genome.",NC_000913,3492033-3494576
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b3477,b3477,9.750001413000001,-1.0173919740000024,0.4940085875195874,0.15766210321377622,0.9751577277352497,0.011115142914977423,BH_from_pvalue,TI83333S003353,CDS,"nickel transport protein (ABC superfamily, membrane)","transport of nickel, membrane protein; go_component: inner membrane [goid 0019866]","Escherichia coli K12, complete genome.",NC_000913,3613264-3614208
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b3159,b3159,10.992782838833335,-0.8839363623333334,0.5418868856716367,0.2245906024297841,0.9751577277352497,0.009657122570420675,BH_from_pvalue,TI83333S003049,CDS,putative protease,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,3300493-3301389
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b1422,b1422,10.937376361666665,0.8653722140000006,1.8218096317735653,0.4082641985502694,0.9751577277352497,0.00945430677563062,BH_from_pvalue,TI83333S001379,CDS,putative transcriptional regulator (LysR familiy),EcoGene suggests alternate start codon; putative transcriptional regulator LYSR-type; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,1492172-1493236
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b3476,b3476,11.098672108,-0.7766148439999991,0.5837348696876274,0.2691878969469179,0.9751577277352497,0.0084846206787089,BH_from_pvalue,TI83333S003352,CDS,"nickel transport protein (ABC superfamily, peri_bind)",periplasmic binding protein for nickel; go_component: periplasmic space [goid 0042597]; go_process: taxis [goid 0042330],"Escherichia coli K12, complete genome.",NC_000913,3611690-3613264
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b0894,b0894,11.623242945,-0.7605326233333329,0.5902783677597231,0.4779338739578856,0.9751577277352497,0.008308920274470997,BH_from_pvalue,TI83333S000864,CDS,"anaerobic dimethyl sulfoxide (DMSO) reductase, subunit A",EcoGene suggests alternate start codon; anaerobic dimethyl sulfoxide reductase subunit A; go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,940269-942626
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b2980,b2980,9.6323624595,0.757036390333333,1.6900153969940175,0.3892623105266025,0.9751577277352497,0.00827072346296454,BH_from_pvalue,TI83333S002876,CDS,transcriptional activator for glc operon,transcriptional activator for glycolate utilization (GntR family); go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_process: carbohydrate catabolism [goid 0016052]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,3126294-3127058
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b0559,b0559,9.044164970333332,-0.7336305346666663,0.6013886166586789,0.555829440783564,0.9751577277352497,0.00801501137025018,BH_from_pvalue,TI83333S000547,CDS,DLP12 prophage,,"Escherichia coli K12, complete genome.",NC_000913,579103-579309
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b4238,b4238,12.383847179999998,-0.715962846666665,0.6087986873567705,0.10518249600990087,0.9751577277352497,0.007821989524082907,BH_from_pvalue,TI83333S004077,CDS,anaerobic ribonucleoside triphosphate reductase,Catalyzes the reduction of nucleoside 5'-triphosphates to 2'-deoxynucleoside 5'-triphosphates; go_process: 2'-deoxyribonucleotide biosynthesis [goid 0009265],"Escherichia coli K12, complete genome.",NC_000913,4458545-4460683
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b1141,b1141,11.549866800000002,-0.6829044466666687,0.6229099633173337,0.03610757780298651,0.9751577277352497,0.007460822098026087,BH_from_pvalue,TI83333S001105,CDS,e14 prophage; putative exisionase,excisionase-like protein from lambdoid prophage e14,"Escherichia coli K12, complete genome.",NC_000913,1200010-1200255
beta_lactam,amoxicillin,WT_amoxicillin_vs_WT_control,not_regulated,b0523,b0523,12.066627939999998,0.6787192733333356,1.6007181154359904,0.5083552012790387,0.9751577277352497,0.007415098521555304,BH_from_pvalue,TI83333S000512,CDS,phosphoribosylaminoimidazole carboxylase catalytic subunit,Catalyzes a step in the de novo purine nucleotide biosynthetic pathway; go_component: cytoplasm [goid 0005737]; go_process: purine nucleotide biosynthesis [goid 0006164],"Escherichia coli K12, complete genome.",NC_000913,551814-552323
