antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source,SEQ_ID,FEAT_TYPE,FUNCTION,DESCRIPTION,COMMENTS,ACCESSION,MAPLOC
beta_lactam,amoxicillin,amoxicillin_resistant_512_plus_amoxicillin_vs_WT_plus_amoxicillin,upregulated,b4150,b4150,14.038669881666666,6.7309381099999985,106.22195005519231,3.660769887523828e-07,0.001551068201343846,18.909689577893694,BH_from_pvalue,TI83333S003993,CDS,"beta-lactamase/D-ala carboxypeptidase; penicillin resistance, penicillin-binding protein (PBP)",beta-lactamase; penicillin resistance; go_component: periplasmic space [goid 0042597]; go_process: peptidoglycan biosynthesis [goid 0009252]; go_process: response to drug [goid 0042493],"Escherichia coli K12, complete genome.",NC_000913,4375834-4376967
beta_lactam,amoxicillin,amoxicillin_resistant_512_plus_amoxicillin_vs_WT_plus_amoxicillin,upregulated,b4151,b4151,14.309335888333331,5.48084933,44.658080275396614,6.863498637755805e-06,0.004154377675453049,13.05260992689453,BH_from_pvalue,TI83333S003994,CDS,fumarate reductase subunit D,in conjunction with FrdC acts to anchor the catalytic components of the fumarate reductase to the cytoplasmic membrane; go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]; go_process: fermentation [goid 0006113]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,4377030-4377389
beta_lactam,amoxicillin,amoxicillin_resistant_512_plus_amoxicillin_vs_WT_plus_amoxicillin,downregulated,b3509,b3509,11.314221237333333,-7.104637811999999,0.007265924992711665,0.0011467268850275443,0.03256485488482053,10.566378644620567,BH_from_pvalue,TI83333S003385,CDS,hypothetical protein,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,3653989-3654327
beta_lactam,amoxicillin,amoxicillin_resistant_512_plus_amoxicillin_vs_WT_plus_amoxicillin,upregulated,b4152,b4152,14.687159201666667,5.623104489999999,49.285948652727335,0.0010134523703593773,0.032195504036385936,8.39082335020379,BH_from_pvalue,TI83333S003995,CDS,fumarate reductase subunit C,transmembrane anchor domain of the fumerate reductase which catalyzes the reduction of fumerate during anaerobic respiration; go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]; go_process: fermentation [goid 0006113]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,4377400-4377795
beta_lactam,amoxicillin,amoxicillin_resistant_512_plus_amoxicillin_vs_WT_plus_amoxicillin,upregulated,b4156,b4156,11.375196965833332,4.759724168333333,27.090669982622618,6.321581368258475e-05,0.017856360171540776,8.320983407686578,BH_from_pvalue,TI83333S003999,CDS,putative amino-acid transport protein (APC family),EcoGene suggests alternate start codon; putative transport; go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,4381820-4383364
beta_lactam,amoxicillin,amoxicillin_resistant_512_plus_amoxicillin_vs_WT_plus_amoxicillin,upregulated,b4158,b4158,11.825306418333334,3.389433416666666,10.479031038480946,2.572321805291584e-06,0.0036329758296734806,8.2693277816029,BH_from_pvalue,TI83333S004001,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,4383727-4384041
beta_lactam,amoxicillin,amoxicillin_resistant_512_plus_amoxicillin_vs_WT_plus_amoxicillin,not_regulated,b4153,b4153,14.817233196666665,5.916593973333336,60.4049123018158,0.0051037084176314045,0.05197207528839162,7.5982671298235225,BH_from_pvalue,TI83333S003996,CDS,succinate dehydrogenase,Converts succinate to fumarate as part of the TCA cycle. It is the only membrane bound enzyme in the TCA cycle; go_component: cytoplasm [goid 0005737]; go_function: electron acceptor activity [goid 0009054]; go_process: fermentation [goid 0006113]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,4377806-4378540
beta_lactam,amoxicillin,amoxicillin_resistant_512_plus_amoxicillin_vs_WT_plus_amoxicillin,upregulated,b4155,b4155,13.672968196666666,4.273562260000002,19.34062162546352,6.769127640513848e-05,0.017925496133035734,7.463899631091966,BH_from_pvalue,TI83333S003998,CDS,lysyl-tRNA synthetase,lysine--tRNA ligase beta chain; poxA; class II aminoacyl tRNA synthetase; catalyzes a two-step reaction; first charging a lysine molecule by linking the carboxyl group to the alpha-phosphate of ATP; second by transfer of the aminoacyl-adenylate to its tRNA; go_process: amino acid activation [goid 0006418],"Escherichia coli K12, complete genome.",NC_000913,4380636-4381643
beta_lactam,amoxicillin,amoxicillin_resistant_512_plus_amoxicillin_vs_WT_plus_amoxicillin,not_regulated,b4154,b4154,15.25662884,5.231682319999999,37.57450829880657,0.004505738523994108,0.05032003886111162,6.792078825363851,BH_from_pvalue,TI83333S003997,CDS,fumarate reductase,Reduces fumarate to succinate in anaerobic bacterial respiration; go_component: cytoplasm [goid 0005737]; go_function: electron acceptor activity [goid 0009054]; go_process: fermentation [goid 0006113]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,4378533-4380341
beta_lactam,amoxicillin,amoxicillin_resistant_512_plus_amoxicillin_vs_WT_plus_amoxicillin,upregulated,b4148,b4148,14.770615014999999,4.022265483333332,16.248847435856398,0.000261643782595414,0.02131893667032248,6.722148685084673,BH_from_pvalue,TI83333S003991,CDS,quarternary ammonium compound transport protein (SMR family),"EcoGene suggests alternate start codon; suppresses groEL, may be chaperone; go_component: inner membrane [goid 0019866]","Escherichia coli K12, complete genome.",NC_000913,4374748-4375215
