antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source,SEQ_ID,FEAT_TYPE,FUNCTION,DESCRIPTION,COMMENTS,ACCESSION,MAPLOC
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,downregulated,b3509,b3509,11.524294099,-7.679794342,0.004876986377664076,1.884693533428666e-06,0.004467340072652958,18.047140285901264,BH_from_pvalue,TI83333S003385,CDS,hypothetical protein,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,3653989-3654327
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,upregulated,b4150,b4150,14.242880868333335,6.600931370000003,97.06850517826534,0.0007451361559624978,0.037142845797801215,9.440155818351727,BH_from_pvalue,TI83333S003993,CDS,"beta-lactamase/D-ala carboxypeptidase; penicillin resistance, penicillin-binding protein (PBP)",beta-lactamase; penicillin resistance; go_component: periplasmic space [goid 0042597]; go_process: peptidoglycan biosynthesis [goid 0009252]; go_process: response to drug [goid 0042493],"Escherichia coli K12, complete genome.",NC_000913,4375834-4376967
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,upregulated,b4156,b4156,11.4659288115,4.667544230333332,25.41387090005546,2.1998556402251216e-05,0.013674945981505225,8.700649619766248,BH_from_pvalue,TI83333S003999,CDS,putative amino-acid transport protein (APC family),EcoGene suggests alternate start codon; putative transport; go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,4381820-4383364
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,upregulated,b4153,b4153,14.97289739,4.9691995733333325,31.32406568671587,0.00018520719343235168,0.024222981162704427,8.029095563206198,BH_from_pvalue,TI83333S003996,CDS,succinate dehydrogenase,Converts succinate to fumarate as part of the TCA cycle. It is the only membrane bound enzyme in the TCA cycle; go_component: cytoplasm [goid 0005737]; go_function: electron acceptor activity [goid 0009054]; go_process: fermentation [goid 0006113]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,4377806-4378540
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,upregulated,b4152,b4152,14.644186595,4.784643496666666,27.562665278803895,0.0005539416194791787,0.03196169678639237,7.154813172724505,BH_from_pvalue,TI83333S003995,CDS,fumarate reductase subunit C,transmembrane anchor domain of the fumerate reductase which catalyzes the reduction of fumerate during anaerobic respiration; go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]; go_process: fermentation [goid 0006113]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,4377400-4377795
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,upregulated,b4148,b4148,14.810237028333333,3.788428203333334,13.817533482178204,5.862955804841378e-05,0.01656089583007528,6.746873063566573,BH_from_pvalue,TI83333S003991,CDS,quarternary ammonium compound transport protein (SMR family),"EcoGene suggests alternate start codon; suppresses groEL, may be chaperone; go_component: inner membrane [goid 0019866]","Escherichia coli K12, complete genome.",NC_000913,4374748-4375215
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,downregulated,b0958,b0958,14.384211408333334,-2.8625412233333325,0.13749573532287943,3.2703641332220203e-06,0.004618844277487233,6.685369646001333,BH_from_pvalue,TI83333S000928,CDS,suppressor of lon; inhibitor of cell division and FtsZ ring formation upon DNA damage/inhibition,suppressor of lon; inhibits cell division and ftsZ ring formation; go_component: periplasmic space [goid 0042597]; go_process: DNA repair [goid 0006281]; go_process: SOS response [goid 0009432],"Escherichia coli K12, complete genome.",NC_000913,1019633-1020142
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,upregulated,b4155,b4155,13.6630643,4.289683160000001,19.55794871819706,0.0003874856548783268,0.028759161503313136,6.611361696198274,BH_from_pvalue,TI83333S003998,CDS,lysyl-tRNA synthetase,lysine--tRNA ligase beta chain; poxA; class II aminoacyl tRNA synthetase; catalyzes a two-step reaction; first charging a lysine molecule by linking the carboxyl group to the alpha-phosphate of ATP; second by transfer of the aminoacyl-adenylate to its tRNA; go_process: amino acid activation [goid 0006418],"Escherichia coli K12, complete genome.",NC_000913,4380636-4381643
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,upregulated,b4149,b4149,13.424496365000001,3.4657468100000024,11.04825646880868,3.569886395340072e-05,0.013750553324596258,6.4521109161163235,BH_from_pvalue,TI83333S003992,CDS,outer membrane lipoprotein (lipocalin),go_component: external outer membrane (sensu Gram-negative Bacteria) [goid 0009279],"Escherichia coli K12, complete genome.",NC_000913,4375212-4375745
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,upregulated,b4151,b4151,14.181106320000003,4.658167566666666,25.249231393856014,0.0009608153098752452,0.04261206075550757,6.383867084715006,BH_from_pvalue,TI83333S003994,CDS,fumarate reductase subunit D,in conjunction with FrdC acts to anchor the catalytic components of the fumarate reductase to the cytoplasmic membrane; go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]; go_process: fermentation [goid 0006113]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,4377030-4377389
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,upregulated,b4158,b4158,11.831401034333334,3.446168278,10.899335516968236,7.058464068023117e-05,0.017592183680125852,6.046923412659206,BH_from_pvalue,TI83333S004001,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,4383727-4384041
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,downregulated,b2616,b2616,13.810818276666668,-3.1884568200000007,0.10969298563118003,2.904756049883102e-05,0.013674945981505225,5.94352067159585,BH_from_pvalue,TI83333S002529,CDS,protein used in recombination and DNA repair,go_component: cytoplasm [goid 0005737]; go_process: DNA recombination [goid 0006310]; go_process: DNA repair [goid 0006281]; go_process: SOS response [goid 0009432],"Escherichia coli K12, complete genome.",NC_000913,2749817-2751478
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,not_regulated,b4154,b4154,15.411259225,4.841107570000002,28.662798514294433,0.0023563848266770792,0.061878779736120576,5.85027642701043,BH_from_pvalue,TI83333S003997,CDS,fumarate reductase,Reduces fumarate to succinate in anaerobic bacterial respiration; go_component: cytoplasm [goid 0005737]; go_function: electron acceptor activity [goid 0009054]; go_process: fermentation [goid 0006113]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,4378533-4380341
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,downregulated,b1184,b1184,11.402795320000001,-2.2188297133333315,0.21481554271869566,2.108727907789926e-06,0.004467340072652958,5.214141072510079,BH_from_pvalue,TI83333S001146,CDS,DNA polymerase IV,"Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by polIV. Exhibits; go_component: cytoplasm [goid 0005737]; go_process: DNA dependent DNA replication [goid 0006261]; go_process: DNA repair [goid 0006281]; go_process: SOS response [goid 0009432]","Escherichia coli K12, complete genome.",NC_000913,1230409-1231677
beta_lactam,amoxicillin,amoxicillin_resistant_512_vs_WT_control,upregulated,b4157,b4157,12.692653621666667,3.3426816766666665,10.144892528630281,0.0004429520390799744,0.030438187834084175,5.069448212681836,BH_from_pvalue,TI83333S004000,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,4383416-4383730
