gene_id,SEQ_ID,FEAT_TYPE,FUNCTION,DESCRIPTION,COMMENTS,ACCESSION,MAPLOC,gene,WT_1,WT_2,WT_3,WT_amox_1,WT_amox_2,WT_amox_3
b0001,TI83333S000001,CDS,thr operon leader peptide,go_process: threonine biosynthesis [goid 0009088],"Escherichia coli K12, complete genome.",NC_000913,190-255,b0001,16.26065321,15.73928012,16.0224846,15.90039766,16.15134965,15.72286294
b0002,TI83333S000002,CDS,bifunctional aspartokinase I/homeserine dehydrogenase I,multifunctional homotetrameric enzyme that catalyzes the phosphorylation of aspartate to form aspartyl-4-phosphate as well as conversion of aspartate semialdehyde to homoserine; functions in a number of amino acid biosynthetic pathways; go_component: cytoplasm [goid 0005737]; go_process: threonine biosynthesis [goid 0009088]; go_process: methionine biosynthesis [goid 0009086]; go_process: homoserine biosynthesis [goid 0009090],"Escherichia coli K12, complete genome.",NC_000913,337-2799,b0002,15.59901512,15.60635913,15.72641391,15.8552381,15.48990033,15.70088206
b0003,TI83333S000003,CDS,homoserine kinase,catalyzes the formation of O-phospho-L-homoserine from L-homoserine in threonine biosynthesis from asparate; go_component: cytoplasm [goid 0005737]; go_process: threonine biosynthesis [goid 0009088],"Escherichia coli K12, complete genome.",NC_000913,2801-3733,b0003,15.50739413,15.49706958,15.58709412,15.68369631,15.63601566,15.78021636
b0004,TI83333S000004,CDS,threonine synthase,catalyzes the formation of L-threonine fromO-phospho-L-homoserine; go_component: cytoplasm [goid 0005737]; go_process: threonine biosynthesis [goid 0009088],"Escherichia coli K12, complete genome.",NC_000913,3734-5020,b0004,15.48366305,15.4754192,15.50344869,15.52215744,15.56395859,15.66687626
b0005,TI83333S000005,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,5234-5530,b0005,10.40528151,10.6946972,10.46925291,10.57802511,11.03079151,10.99256829
b0006,TI83333S000006,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,5683-6459,b0006,11.74934875,11.84044067,11.79027567,11.65075679,11.82193472,11.68240448
b0007,TI83333S000007,CDS,inner membrane transport protein,putative alanine/glycine transport protein (AGCS family); go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,6529-7959,b0007,10.74686424,10.3964282,11.0182677,11.02223312,10.10264889,10.43131468
b0008,TI83333S000008,CDS,transaldolase,"Maintains the balance of metabolites in the pentose-phosphate pathway; go_component: cytoplasm [goid 0005737]; go_process: pentose-phosphate shunt, non-oxidative branch [goid 0009052]","Escherichia coli K12, complete genome.",NC_000913,8238-9191,b0008,15.6903552,15.68714812,15.84966279,15.66785896,15.62389743,15.56087462
b0009,TI83333S000009,CDS,molybdenum cofactor biosynthesis protein,forms a trimer; related to eukaryotic protein gephyrin; functions during molybdenum cofactor biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: Mo-molybdopterin cofactor biosynthesis [goid 0006777],"Escherichia coli K12, complete genome.",NC_000913,9306-9893,b0009,11.61539044,11.74224707,11.64737571,11.78011391,11.66396084,11.66750604
b0010,TI83333S000010,CDS,"putative regulator, integral membrane protein",,"Escherichia coli K12, complete genome.",NC_000913,9928-10494,b0010,10.59278101,10.48807563,10.50170223,10.59352077,10.52583264,10.64252791
b0011,TI83333S000011,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,10643-11356,b0011,8.256689346,8.295554886,8.280880308,8.326320977,8.193531069,8.186874623
b0012,TI83333S000012,CDS,positive regulator for sigma 32 heat shock promoters,"transcriptional activator for sigma H (sigma 32) promoters, permitting growth at high temperature; go_function: transcriptional activator activity [goid 0016563]; go_process: protein folding [goid 0006457]; go_process: transcription [goid 0006350]; go_process: response to temperature [goid 0009266]","Escherichia coli K12, complete genome.",NC_000913,10725-11315,b0012,6.910049342,6.909548108,6.870784245,6.93557009,6.872100628,6.984474143
b0013,TI83333S000013,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,11382-11786,b0013,7.079475363,6.997353533,7.008960786,7.093266266,7.082791116,7.029187208
b0014,TI83333S000014,CDS,molecular chaperone DnaK,heat shock protein 70; assists in folding of nascent polypeptide chains; refolding of misfolded proteins; utilizes ATPase activity to help fold; co-chaperones are DnaJ and GrpE; multiple copies in some bacteria; go_component: cytoplasm [goid 0005737]; go_process: protein folding [goid 0006457]; go_process: response to osmotic stress [goid 0006970],"Escherichia coli K12, complete genome.",NC_000913,12163-14079,b0014,15.15636681,15.20702978,15.0278521,15.2745741,15.1206802,15.08979997
b0015,TI83333S000015,CDS,chaperone with DnaK; heat shock protein,"heat shock protein (Hsp40), co-chaperone with DnaK; go_component: cytoplasm [goid 0005737]; go_process: protein folding [goid 0006457]","Escherichia coli K12, complete genome.",NC_000913,14168-15298,b0015,13.60390365,13.80331497,13.22235799,13.43408431,13.87890875,13.80696417
b0016,TI83333S000016,CDS,IS186 hypothetical protein,"homolog, IS186 transposase","Escherichia coli K12, complete genome.",NC_000913,15445-16557,b0016,12.171172,12.52448191,12.03650695,12.10283508,12.56240553,12.52747718
b0017,TI83333S000017,CDS,IS186 and IS421 hypothetical protein,"homolog, IS186 and IS421 protein","Escherichia coli K12, complete genome.",NC_000913,15869-16177,b0017,8.327973507,7.940867112,8.431599617,8.44215247,8.015354567,7.947942623
b0018,TI83333S000018,CDS,regulatory peptide whose translation enables hokC (gef) expression,,"Escherichia coli K12, complete genome.",NC_000913,16751-16960,b0018,10.82065574,10.86082109,10.91939638,11.0685337,10.71283851,10.78165969
b4412,TI83333S000019,CDS,small toxic membrane polypeptide,,"Escherichia coli K12, complete genome.",NC_000913,16751-16903,b4412,10.79032414,10.64502323,10.8315161,10.91986616,10.54429315,10.63457574
b0019,TI83333S000020,CDS,"Na+/H antiporter, pH dependent",sodium:proton antiporter (NhaA family); go_component: inner membrane [goid 0019866]; go_process: response to pH [goid 0009268],"Escherichia coli K12, complete genome.",NC_000913,17489-18655,b0019,12.34794046,12.34045371,12.52149692,12.50061343,12.30738272,12.26620792
b0020,TI83333S000021,CDS,transcriptional activator of cation transport (LysR family),transcriptional activator of nhaA; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_process: transcription [goid 0006350]; go_process: response to pH [goid 0009268],"Escherichia coli K12, complete genome.",NC_000913,18715-19620,b0020,11.46908117,11.48383776,11.66450084,11.576698,11.45694141,11.37924567
b0021,TI83333S000022,CDS,IS1 protein InsB,,"Escherichia coli K12, complete genome.",NC_000913,19811-20314,b0021,12.38473488,12.28889555,12.38409867,12.39954689,12.33815807,12.44688563
b0022,TI83333S000023,CDS,IS1 protein InsA,,"Escherichia coli K12, complete genome.",NC_000913,20233-20508,b0022,12.84100484,12.80414443,12.93308839,12.94839681,12.77867123,12.77426943
b0023,TI83333S000024,CDS,30S ribosomal protein S20,binds directly to the 16S ribosomal RNA; go_component: cytosolic ribosome (sensu Bacteria) [goid 0009281]; go_component: cytoplasm [goid 0005737]; go_function: structural constituent of ribosome [goid 0003735]; go_process: protein biosynthesis [goid 0006412],"Escherichia coli K12, complete genome.",NC_000913,20815-21078,b0023,15.58009657,15.54591041,15.13860704,14.72327128,15.85889014,15.47824616
b0024,TI83333S000025,CDS,unknown CDS,,"Escherichia coli K12, complete genome.",NC_000913,21181-21399,b0024,11.68035739,11.64974144,11.78837744,11.72320667,11.51570326,11.65331085
b0025,TI83333S000026,CDS,hypothetical protein,go_component: cytoplasm [goid 0005737],"Escherichia coli K12, complete genome.",NC_000913,21407-22348,b0025,14.49599855,14.5416224,14.48983043,14.55541364,14.70078396,14.73839054
b0026,TI83333S000027,CDS,isoleucyl-tRNA synthetase,catalyzes the formation of isoleucyl-tRNA(Ile) from isoleucine and tRNA(Ile); go_component: cytoplasm [goid 0005737]; go_process: amino acid activation [goid 0006418],"Escherichia coli K12, complete genome.",NC_000913,22391-25207,b0026,14.2200016,14.35876238,14.34906862,14.2372438,14.38588637,14.49906642
b0027,TI83333S000028,CDS,signal peptidase II,lipoprotein signal peptidase; integral membrane protein that removes signal peptides from prolipoproteins during lipoprotein biosynthesis; go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,25207-25701,b0027,13.40030415,13.52740815,13.58720797,13.43032641,13.5865622,13.69984441
b0028,TI83333S000029,CDS,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),FKBX-type 16KD peptidyl-prolyl cis-trans isomerase (a rotamase); go_component: cytoplasm [goid 0005737]; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,25826-26275,b0028,14.43905079,14.43848604,14.42554514,14.44705031,14.56766494,14.6077679
b0029,TI83333S000030,CDS,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,catalzes the conversion 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate; go_component: cytoplasm [goid 0005737]; go_process: response to drug [goid 0042493],"Escherichia coli K12, complete genome.",NC_000913,26277-27227,b0029,13.05918281,13.13982812,13.01819956,12.83071089,13.27784027,13.2686913
b0030,TI83333S000031,CDS,nucleoside hydrolase,ribonucleoside hydrolase 3; go_process: nucleotide-sugar biosynthesis [goid 0009226],"Escherichia coli K12, complete genome.",NC_000913,27293-28207,b0030,11.05175519,11.13480252,11.37501295,11.09481271,11.06736997,10.95364022
b0031,TI83333S000032,CDS,dihydrodipicolinate reductase,"catalyzes the reduction of 2,3-dihydrodipicolinate to 2,3,4,5-tetrahydrodipicolinate in lysine and diaminopimelate biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: lysine biosynthesis via diaminopimelate [goid 0009089]","Escherichia coli K12, complete genome.",NC_000913,28374-29195,b0031,15.22931313,15.17558085,14.96739702,14.73152154,15.24183871,15.13674384
b0032,TI83333S000033,CDS,carbamoyl-phosphate synthase small subunit,"Composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate; go_process: arginine biosynthesis [goid 0006526]; go_process: pyrimidine nucleotide biosynthesis [goid 0006221]","Escherichia coli K12, complete genome.",NC_000913,29651-30799,b0032,14.46645311,15.00147201,14.08651209,14.3316617,15.39515192,15.35752079
b0033,TI83333S000034,CDS,carbamoyl-phosphate synthase large subunit,"composed of two chains; the small (or glutamine) chain promotes the hydrolysis of glutamine to ammonia, which is used by the large (or ammonia) chain to synthesize carbamoyl phosphate; binds manganese; involved in pyrimidine synthesis; go_process: arginine biosynthesis [goid 0006526]; go_process: pyrimidine nucleotide biosynthesis [goid 0006221]","Escherichia coli K12, complete genome.",NC_000913,30817-34038,b0033,14.93927872,14.95655001,15.03714773,15.06143642,14.99889084,15.19162927
b0034,TI83333S000035,CDS,transcriptional regulator of cai operon,EcoGene suggests alternate start codon; transcriptional regulator of carnitine metabolism; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_process: amine catabolism [goid 0009310]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,34195-34695,b0034,12.5043022,12.25079719,12.57058365,12.60768941,12.34941779,12.42033227
b0035,TI83333S000036,CDS,possible synthesis of cofactor for carnitine racemase and dehydratase,"EcoGene suggests alternate start codon; putative acyl transferase, stimulates activity of carnitine racemase and carnitine dehydrogenase; go_process: amine catabolism [goid 0009310]; go_process: carnitine catabolism [goid 0042413]","Escherichia coli K12, complete genome.",NC_000913,34781-35392,b0035,10.10374133,9.942613584,10.12231555,10.12943722,10.01551035,10.14586239
b0036,TI83333S000037,CDS,carnitinyl-CoA dehydratase,catalyzes the dehydration fo L-carnitinyl-CoA to crotonobetainyl-Coa; go_process: amine catabolism [goid 0009310]; go_process: carnitine catabolism [goid 0042413],"Escherichia coli K12, complete genome.",NC_000913,35377-36270,b0036,7.206962899,7.221688354,7.305947253,7.235449312,7.201887966,7.224331446
b0037,TI83333S000038,CDS,crotonobetaine/carnitine-CoA ligase,go_component: inner membrane [goid 0019866]; go_process: amine catabolism [goid 0009310],"Escherichia coli K12, complete genome.",NC_000913,36271-37839,b0037,10.1711602,10.14530865,9.999677907,10.18872066,10.06202118,10.19261436
b0038,TI83333S000039,CDS,crotonobetainyl-CoA:carnitineCoA-transferase,catalyzes formation of L-carnitinyl-CoA by transfering the CoA moiety from crotonbetainyl-CoA; go_component: cytoplasm [goid 0005737]; go_process: carnitine catabolism [goid 0042413]; go_process: amine catabolism [goid 0009310],"Escherichia coli K12, complete genome.",NC_000913,37898-39115,b0038,9.389282941,9.447927746,9.526732096,9.62432182,9.457014506,9.546403447
b0039,TI83333S000040,CDS,crotonobetainyl-CoA dehydrogenase,catalyzes the reduction of crotonobetainyl-CoA to gamma-butyrobetainyl-Coa; go_component: cytoplasm [goid 0005737]; go_function: electron acceptor activity [goid 0009054]; go_process: glyoxylate cycle [goid 0006097]; go_process: amine catabolism [goid 0009310]; go_process: carnitine catabolism [goid 0042413],"Escherichia coli K12, complete genome.",NC_000913,39244-40386,b0039,11.38614095,11.21188565,11.30441825,11.32293267,11.13935959,11.23263767
b0040,TI83333S000041,CDS,L-carnitine/gamma-butyrobetaine antiporter,catalyzes the exchange of L-carnitine for gamma-butyrobetaine in carnitine metabolism; go_component: inner membrane [goid 0019866]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,40417-41931,b0040,7.94323419,7.855382222,7.959503756,7.932036961,7.848878367,7.976515123
b0041,TI83333S000042,CDS,putative electron transfer flavoprotein subunit beta,thought to participate in the transfer of electrons to nitrogenase during nitrogen fixation; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,42367-43173,b0041,9.175175967,8.998211996,9.079482525,9.010392403,9.109683684,9.120552889
b0042,TI83333S000043,CDS,putative electron transfer flavoprotein subunit alpha,involved in electron transfer during carnitine metabolism; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,43188-44129,b0042,10.92215162,10.79334615,10.75986134,10.86447092,10.73583595,10.89111498
b0043,TI83333S000044,CDS,carnitine metabolism related,flavoprotein; electron transport; go_process: carnitine catabolism [goid 0042413],"Escherichia coli K12, complete genome.",NC_000913,44180-45466,b0043,11.75444741,11.66256928,11.56874509,11.69130764,11.66217902,11.77804306
b0044,TI83333S000045,CDS,putative ferredoxin,"putative ferredoxin, carnitine metabolism; go_process: carnitine catabolism [goid 0042413]","Escherichia coli K12, complete genome.",NC_000913,45463-45750,b0044,10.67044531,10.42348356,10.43694168,10.48674967,10.50458879,10.65335828
b0045,TI83333S000046,CDS,putative transport protein,putative transport protein (MFS family); go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,45807-47138,b0045,7.471625064,7.46522355,7.424350896,7.412221564,7.398975273,7.469391307
b0046,TI83333S000047,CDS,glutathione-regulated potassium-efflux system ancillary protein,"Required for full activity of KefC, a potassium-proton antiporter","Escherichia coli K12, complete genome.",NC_000913,47246-47776,b0046,9.978228232,10.15181956,9.982808571,9.904697615,10.18923195,10.11674687
b0047,TI83333S000048,CDS,glutathione-regulated potassium-efflux system protein,transport system that facilitates potassium-efflux; go_component: inner membrane [goid 0019866]; go_function: potassium:hydrogen antiporter activity [goid 0015386],"Escherichia coli K12, complete genome.",NC_000913,47769-49631,b0047,11.17568849,11.05014706,10.95764092,10.83463942,11.16251786,11.12276232
b0048,TI83333S000049,CDS,"dihydrofolate reductase type I, trimethoprim resistance",dihydrofolate reductase type I; trimethoprim resistance; go_process: folic acid biosynthesis [goid 0046656]; go_process: 10-formyltetrahydrofolate biosynthesis [goid 0009257],"Escherichia coli K12, complete genome.",NC_000913,49823-50302,b0048,10.18912405,10.53531814,10.29989099,10.02723259,10.9881052,10.46399033
b0049,TI83333S000050,CDS,diadenosinetetraphosphatase,"hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP; go_component: cytoplasm [goid 0005737]; go_process: nucleobase, nucleoside and nucleotide interconversion [goid 0015949]","Escherichia coli K12, complete genome.",NC_000913,50380-51222,b0049,11.70102972,11.94615869,11.6733586,11.63868391,12.04018505,11.98236175
b0050,TI83333S000051,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,51229-51606,b0050,13.38217799,13.62839838,13.31859711,13.28451097,13.71675302,13.71749876
b0051,TI83333S000052,CDS,dimethyladenosine transferase,Specifically dimethylates two adjacent adenosines in the loop of a conserved hairpin near the 3'end of 16S rRNA in the 30S particle. Its inactivation leads to kasugamycin resistance; go_component: cytoplasm [goid 0005737]; go_process: RNA modification [goid 0009451]; go_process: response to drug [goid 0042493],"Escherichia coli K12, complete genome.",NC_000913,51609-52430,b0051,13.51558108,13.78685412,13.35891158,13.28767423,13.85137871,13.86775559
b0052,TI83333S000053,CDS,4-hydroxythreonine-4-phosphate dehydrogenase,Catalyzes the NAD-dependent oxidation of 4-(phosphohydroxy)-L-threonine (HTP) into 2-amino-3-oxo-4-(phosphohydroxy)butyric acid which spontaneously decarboxylate to form 1-amino-3-(phosphohydroxy)propan-2-one (3-amino-2-oxopropyl phosphate); go_component: cytoplasm [goid 0005737]; go_process: pyridoxine biosynthesis [goid 0008615],"Escherichia coli K12, complete genome.",NC_000913,52427-53416,b0052,12.35366621,12.86883482,12.24613053,12.28135952,12.87674878,12.96892074
b0053,TI83333S000054,CDS,"peptidyl-prolyl cis-trans isomerase (PPIase), involved in maturation of outer membrane proteins",survival protein; go_component: external outer membrane (sensu Gram-negative Bacteria) [goid 0009279]; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,53416-54702,b0053,13.44936879,13.77364502,13.63944318,13.51189216,13.71212133,13.76374556
b0054,TI83333S000055,CDS,organic solvent tolerance protein precursor,determines N-hexane tolerance and is involved in outer membrane permeability; go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,54755-57109,b0054,13.92446733,14.18666785,13.92448813,14.00525707,14.17088559,14.15452893
b0055,TI83333S000056,CDS,Dna-J like membrane chaperone protein,functions as a co-chaperone with DnaK; involved in regulation of colanic acid capsule; inner membrane protein; dimerized via transmembrane domain; J-like domain is cytoplasmic and can functionally substitute for DnaJ; stimulates synthesis of colanic acid m; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,57364-58179,b0055,12.41065476,12.21625112,12.3718624,12.23481908,12.31603391,12.30149782
b0056,TI83333S000057,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,58474-59124,b0056,11.01318368,10.89407727,10.73649701,10.91634858,10.96625168,10.93211033
b0057,TI83333S000058,CDS,unknown CDS,,"Escherichia coli K12, complete genome.",NC_000913,59121-59279,b0057,12.339717,12.41817091,12.51149501,12.50761224,12.48748775,12.2569365
b0058,TI83333S000059,CDS,23S rRNA pseudouridylate 746 synthase,Ribosomal large subunit pseudouridine synthase A; go_process: RNA modification [goid 0009451],"Escherichia coli K12, complete genome.",NC_000913,59687-60346,b0058,11.82341026,11.88639556,12.03279223,11.73034525,11.88386874,11.93333264
b0059,TI83333S000060,CDS,ATP-dependent helicase HepA,"Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on; go_process: RNA modification [goid 0009451]","Escherichia coli K12, complete genome.",NC_000913,60358-63264,b0059,11.78930481,12.04444372,11.91501609,11.89149401,12.0348001,12.14156161
b0060,TI83333S000061,CDS,DNA polymerase II,"has polymerase, DNA-binding and 3'-5' exonuclease activities; go_component: cytoplasm [goid 0005737]; go_process: DNA dependent DNA replication [goid 0006261]; go_process: DNA repair [goid 0006281]; go_process: response to radiation [goid 0009314]; go_process: SOS response [goid 0009432]","Escherichia coli K12, complete genome.",NC_000913,63429-65780,b0060,12.76575393,12.75471104,13.06869403,12.9262269,12.60901534,12.64248277
b0061,TI83333S000062,CDS,L-ribulose-5-phosphate 4-epimerase,catalyzes the formation of D-xylulose 5-phosphate from L-ribulose 5-phosphate; go_component: cytoplasm [goid 0005737]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,65855-66550,b0061,8.958352895,8.828401283,9.023046744,8.865825512,8.899766967,8.893425951
b0062,TI83333S000063,CDS,L-arabinose isomerase,catalyzes the formation of L-ribulose from L-arabinose in L-arabinose catabolism; go_component: cytoplasm [goid 0005737]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,66835-68337,b0062,8.966772774,8.953083261,9.075497329,8.960772797,8.848985705,8.8635908
b0063,TI83333S000064,CDS,ribulokinase,catalyzes the phosphorylation of ribulose to ribulose 5-phosphate; go_component: cytoplasm [goid 0005737]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,68348-70048,b0063,9.265729256,9.225126272,9.227570259,9.326261957,9.213005103,9.253696225
b0064,TI83333S000065,CDS,transcriptional regulator for ara operon,transcriptional regulator of arabinose catabolism (AraC/XylS family); go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: carbohydrate catabolism [goid 0016052]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,70387-71265,b0064,11.3227898,10.99405475,11.85071244,11.59950219,10.66521375,10.70838299
b0065,TI83333S000066,CDS,putative integral membrane protein,,"Escherichia coli K12, complete genome.",NC_000913,71351-72115,b0065,12.07777744,11.8698614,11.87937931,11.89011185,12.01482457,12.05948603
b0066,TI83333S000067,CDS,putative ATP-binding component of a transport system,"thiamine transport protein (ABC superfamily, atp_bind); go_component: cytoplasm [goid 0005737]; go_process: thiamin biosynthesis [goid 0009228]","Escherichia coli K12, complete genome.",NC_000913,72229-72927,b0066,10.93412014,11.11026464,10.6292818,10.65993427,11.21011418,11.16480651
b0067,TI83333S000068,CDS,thiamin ABC transporter membrane component,functions in transport of thiamine and thiamine pyrophosphate into the cell; repressed in presence of exogenous thiamine; go_component: inner membrane [goid 0019866]; go_process: thiamin biosynthesis [goid 0009228],"Escherichia coli K12, complete genome.",NC_000913,72911-74521,b0067,11.11798921,11.44669907,10.65849274,10.68000212,11.57025227,11.55192801
b0068,TI83333S000069,CDS,thiamin-binding periplasmic protein,"thiamine transport protein (ABC superfamily, peri_bind); go_component: periplasmic space [goid 0042597]; go_process: thiamin biosynthesis [goid 0009228]","Escherichia coli K12, complete genome.",NC_000913,74497-75480,b0068,11.34155595,11.60173496,10.98473806,11.06806705,11.93610192,11.73220584
b0069,TI83333S000070,CDS,putative periplasmic binding protein of transport system,putative transport protein; go_component: periplasmic space [goid 0042597],"Escherichia coli K12, complete genome.",NC_000913,75644-77299,b0069,9.950519275,10.05335279,10.24279662,10.35037846,9.985784953,10.03822324
b0070,TI83333S000071,CDS,Sugar efflux protein,"proton-coupled beta-galactosidase, lactose and glucose efflux pump (MFS family); go_component: inner membrane [goid 0019866]; go_function: lactose/glucose efflux transporter activity [goid 0015543]; go_process: carbohydrate catabolism [goid 0016052]","Escherichia coli K12, complete genome.",NC_000913,77621-78799,b0070,11.59643859,11.51812183,11.6337265,11.73385933,11.4921867,11.62016522
b0071,TI83333S000072,CDS,isopropylmalate isomerase small subunit,catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate in leucine biosynthesis; forms a heterodimer of LeuC/D; go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,78848-79453,b0071,14.52462747,14.45402869,14.66381775,14.65868614,14.43595352,14.38348466
b0072,TI83333S000073,CDS,isopropylmalate isomerase large subunit,catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate; go_component: cytoplasm [goid 0005737]; go_process: leucine biosynthesis [goid 0009098],"Escherichia coli K12, complete genome.",NC_000913,79464-80864,b0072,14.66528409,14.77292422,14.83425525,14.85758691,14.6029503,14.71359438
